gender,race_ethn,year,age,m_i.med,m_i.lwr,m_i.upr
Female,api,2018,25,2.6e-7,1.4e-7,4.6e-7
Female,api,2018,30,2.8e-7,1.6e-7,4.6e-7
Female,api,2018,35,2.4e-7,1.3e-7,3.9e-7
Female,api,2018,40,2.9e-7,1.6e-7,4.7e-7
Female,api,2018,45,2.1e-7,1.2e-7,3.6e-7
Female,api,2018,50,2.7e-7,1.5e-7,4.7e-7
Female,api,2018,55,1.5e-7,7e-8,2.7e-7
Female,api,2018,60,1.1e-7,5e-8,2.1e-7
Female,api,2018,65,7e-8,3e-8,1.6e-7
Female,api,2018,70,4e-8,1e-8,1e-7
Female,api,2018,75,9e-8,3e-8,2e-7
Female,api,2018,80,1e-7,3e-8,2.3e-7
Female,api,2019,0,3e-8,0,1.2e-7
Female,api,2019,1,2e-8,0,7e-8
Female,api,2019,5,3e-8,1e-8,9e-8
Female,api,2019,10,3e-8,0,8e-8
Female,api,2019,15,6e-8,2e-8,1.4e-7
Female,api,2019,20,1.6e-7,8e-8,3e-7
Female,api,2019,25,2.5e-7,1.4e-7,4.5e-7
Female,api,2019,30,2.7e-7,1.5e-7,4.4e-7
Female,api,2019,35,2.3e-7,1.3e-7,3.8e-7
Female,api,2019,40,2.8e-7,1.6e-7,4.5e-7
Female,api,2019,45,2e-7,1.1e-7,3.5e-7
Female,api,2019,50,2.6e-7,1.5e-7,4.5e-7
Female,api,2019,55,1.4e-7,7e-8,2.6e-7
Female,api,2019,60,1.1e-7,5e-8,2.1e-7
Female,api,2019,65,7e-8,2e-8,1.5e-7
Female,api,2019,70,4e-8,1e-8,1e-7
Female,api,2019,75,9e-8,3e-8,1.9e-7
Female,api,2019,80,1e-7,3e-8,2.2e-7
Female,api,2020,0,2e-8,0,1.1e-7
Female,api,2020,1,2e-8,0,7e-8
Female,api,2020,5,3e-8,1e-8,9e-8
Female,api,2020,10,3e-8,0,8e-8
Female,api,2020,15,6e-8,2e-8,1.4e-7
Female,api,2020,20,1.6e-7,8e-8,2.9e-7
Female,api,2020,25,2.5e-7,1.4e-7,4.4e-7
Female,api,2020,30,2.7e-7,1.5e-7,4.4e-7
Female,api,2020,35,2.2e-7,1.2e-7,3.8e-7
Female,api,2020,40,2.7e-7,1.6e-7,4.5e-7
Female,api,2020,45,2e-7,1.1e-7,3.5e-7
Female,api,2020,50,2.6e-7,1.4e-7,4.4e-7
Female,api,2020,55,1.4e-7,7e-8,2.5e-7
Female,api,2020,60,1.1e-7,5e-8,2e-7
Female,api,2020,65,7e-8,2e-8,1.5e-7
Female,api,2020,70,4e-8,1e-8,1e-7
Female,api,2020,75,9e-8,3e-8,1.9e-7
Female,api,2020,80,1e-7,3e-8,2.2e-7
Female,api,2021,0,2e-8,0,1.1e-7
Female,api,2021,1,2e-8,0,6e-8
Female,api,2021,5,3e-8,1e-8,9e-8
Female,api,2021,10,3e-8,0,8e-8
